id-datalake,nct_id,brief_title,official_title,phase,recruitment_status,start_date,completion_date,primary_completion_date,enrollment,enrollment_type,indications,interventions_drugs,drugs_datalake,main_technologies,specific_technologies,target_names,target_abbreviations,start_year,duration,success
9661,NCT00448643,Whole-Abdominal Radiation Therapy and Cisplatin in Treating Patients With Stage III or Stage IV Endometrial Cancer That Has Been Removed by Surgery,A Phase I Study Using Abdominal Radiotherapy as a Cisplatin Chemosensitizer for Optimally Debulked Stage III/IV Carcinoma of the Endometrium,1,completed,2002-05-31,2011-03-31,2011-03-31,12.0,ACTUAL,['Endometrial Cancer'],"['Carboplatin', 'Paclitaxel', 'Cisplatin', 'Whole-Abdominal Irradiation', 'High-Dose-Rate Vaginal Brachytherapy']","['B274', 'B1250', 'B49']","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['DNA'], ['Tubulin beta-1 chain'], ['DNA']]","[['DNA'], ['TUBB1'], ['DNA']]",2002.0,3226.0,1
3274,NCT00044525,Evaluation of BAY59-8862 in Taxane-Resistant Metastatic Breast Cancer Patients,An Uncontrolled Phase II Study Evaluating the Efficacy and Safety of Intravenous BAY59-8862 in Patients With Taxane-Resistant Metastatic Breast Cancer,2,completed,2002-04-30,2004-02-29,2004-02-29,82.0,ACTUAL,"['Breast Neoplasm', 'Breast Cancer']",['Ortataxel'],['B1114'],[['Small Molecule']],[['Small Molecule']],[['Tubulin beta-1 chain']],[['TUBB1']],2002.0,670.0,1
7022,NCT00256230,Disulfiram in Patients With Metastatic Melanoma,"Evaluation of Disulfiram in Patients With Metastatic Melanoma and at Least One Prior Systemic Therapy, Phase I/II",1,completed,2002-01-31,2007-08-31,2007-08-31,7.0,ACTUAL,['Skin Melanoma'],['Disulfiram'],['B2106'],[['Small Molecule']],[['Small Molecule']],[['Aldehyde dehydrogenase']],[['ALDH2']],2002.0,2038.0,1
2643,NCT00023933,Radiolabeled Monoclonal Antibody Therapy in Treating Patients With Recurrent or Persistent Metastatic Colorectal Cancer,Phase I Trial of 131I-HuCC49^CH2 for Colon Cancer,1,completed,2001-10-31,,2005-07-31,15.0,ACTUAL,"['Colon Carcinoma', 'Rectal Carcinoma', 'Colon Carcinoma', 'Rectal Carcinoma', 'Colon Carcinoma', 'Rectal Carcinoma']",['Iodine I 131 Monoclonal Antibody CC49-deltaCH2'],[],[],[],[],[],2001.0,,1
57702,NCT00328549,A Study to Evaluate the Erythropoietic Response in Hepatitis C Virus (HCV) Patients Receiving Combination Ribavirin (RBV)/Interferon (IFN) Therapy or RBV/PEG IFN (NATURAL HISTORY-HCV),A Study to Evaluate the Erythropoietic Response in Hepatitis C Virus (HCV) Patients Receiving Combination Ribavirin (RBV)/Interferon (IFN) Therapy or RBV/PEG IFN,2,completed,2001-10-31,2002-12-31,,105.0,ACTUAL,"['Hepatitis C', 'Anemia']","['Pegylated Interferon Alfa', 'Ribavirin']",['B372'],[['Small Molecule']],[['Small Molecule']],[[]],[[]],2001.0,426.0,1
2668,NCT00024310,"Paclitaxel, Folic Acid, and Lometrexol in Treating Patients With Locally Advanced or Metastatic Solid Tumors",A Phase I Trial of Lometrexol Sodium and Paclitaxel Adminsitered Intravenously Every 21 Days in Conjunction With Oral Folic Acid in Patients With Solid Tumors,1,unknown,2001-09-30,,,,,"['Solid Tumors', 'Drug/Agent Toxicity by Tissue/Organ']","['Folic acid', 'Lometrexol', 'Paclitaxel']","['B366', 'B999', 'B1250']","[[], ['Small Molecule'], ['Small Molecule']]","[[], ['Small Molecule'], ['Small Molecule']]","[['Folate receptor'], ['Enzymes'], ['Tubulin beta-1 chain']]","[['Folate receptor'], ['Enzymes'], ['TUBB1']]",2001.0,,0
2852,NCT00030069,Calcitriol and Dexamethasone in Patients With Myelodysplastic Syndromes,Calcitriol and Dexamethasone for Myelodysplastic Syndromes,2,completed,2001-09-30,2009-05-31,2007-09-30,32.0,ACTUAL,['Myelodysplastic Syndrome'],"['Calcitriol', 'Dexamethasone']","['B2070', 'B1128']","[['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule']]","[['Vitamin D receptor'], ['Glucocorticoid receptor']]","[['VDR'], ['GR']]",2001.0,2800.0,1
3473,NCT00050843,A Study to Access the Safety/Efficacy of Thalidomide in the Treatment of Anemia in Patients With Myelodysplastic Syndromes,,3,completed,2001-08-31,2004-02-29,,220.0,,['Myelodysplastic Syndrome'],['Thalidomide'],['B1641'],[['Small Molecule']],[['Molecular glue']],"[['Alpha-1-acid glycoprotein 1', 'Alpha-1-acid glycoprotein 2', 'Cereblon', 'DNA-binding protein Ikaros', 'Sal-like protein 4', 'Tumor necrosis factor', 'Zinc finger protein Aiolos']]","[['AGP1', 'AGP2', 'CRBN', 'IKZF1', 'SALL4', 'TNF', 'IKZF3']]",2001.0,912.0,1
3211,NCT00041808,Magnetic-Targeted Doxorubicin in Treating Patients With Cancer Metastatic to the Liver,"A Phase I/II Single Dose Trial to Determine The Safety, Tolerance, Pharmacokinetic Profile, and Preliminary Activity of Intrahepatic Delivery (Via Hepatic Artery Catheterization) of Doxorubicin Hydrochloride Adsorbed to Magnetic Targeted Carriers ( MTC-DOX) in Patients With Metastatic Cancer to the Liver .",1,completed,2001-07-31,2003-04-30,,20.0,,"['Metastases, Neoplasm', 'Digestive System Neoplasm', 'Digestive System Neoplasm', 'Digestive System Neoplasm', 'Pancreatic Cancer', 'Breast Neoplasm', 'Male Reproductive System Neoplasm', 'Sarcoma', 'Digestive System Neoplasm', 'Thoracic Neoplasm', 'Liver Cancer', 'Bile Duct Cancer']","['MTC DOX', 'Chemotherapy']",['B6298'],[['Small Molecule']],[['Small Molecule']],[[]],[[]],2001.0,638.0,1
9016,NCT00403624,Evaluation of the Neoadjuvant Treatment With Oxaliplatin -UFT- Radiotherapy in Rectal Cancer,Clinical Study to Evaluate a Protocol of Oxaliplatin -UFT- Radiotherapy for the Neoadjuvant Treatment Rectal Cancer,1,completed,2001-07-31,2005-11-30,2005-11-30,38.0,,['Digestive System Neoplasm'],['Oxaliplatin'],['B1229'],[['Small Molecule']],[['Small Molecule']],[['DNA']],[['DNA']],2001.0,1583.0,1
11561,NCT00586898,Rapid Hormonal Cycling as Treatment for Patients With Prostate Cancer: The Men's Cycle,Rapid Hormonal Cycling as Treatment for Patients With Prostate Cancer: The Men's Cycle,2,completed,2001-07-31,2009-03-31,2009-03-31,36.0,ACTUAL,"['Male Reproductive System Neoplasm', 'Cancer', 'Hormonal Cycling']","['Leuprorelin', 'Goserelin', 'Ketoconazole', 'Bicalutamide', 'Testosterone', 'Estradiol']","['B2805', 'B121', 'B349', 'B1219', 'B1129', 'B273']","[['Other Protein Therapy'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule'], [], []]","[['Hormone'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule'], [], []]","[['Gonadotropin-releasing hormone receptor'], ['Gonadotropin-releasing hormone receptor'], [], ['Androgen Receptor'], ['Androgen Receptor'], ['Estrogen receptors']]","[['GnRHR'], ['GnRHR'], ['C14DM'], ['AR'], ['AR'], ['ER']]",2001.0,2800.0,1
3103,NCT00038649,"Therapy of Early Chronic Phase CML With Higher-Dose Gleevec, Alpha Interferon, and Low-Dose Ara-C",Therapy of Early Chronic Phase Chronic Myelogenous Leukemia (CML) With Higher-Dose Gleevec (STI571),2,terminated,2001-06-30,2013-11-30,2013-11-30,117.0,ACTUAL,['Chronic Leukemia'],['imatinib mesylate'],['B9326'],[[]],[[]],[[]],[[]],2001.0,4536.0,0
